id,examResultId,questionId,createdAt
01KCXK1Q2TH70F3N3107YZX7EX,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SP0001H0Q1FW1GGQJ0,2025-12-01T09:00:00Z
01KCXK1Q2VY9FJC4TZ2494BEFJ,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SP0001H0Q1FW1GK6N8,2025-12-01T09:00:00Z
01KCXK1Q2WX6Y4X1J25Q7ZJVD8,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SP0001H0Q1FW1GNA1G,2025-12-01T09:00:00Z
01KCXK1Q2XD8TV1MB3ZVVKQK61,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SP0001H0Q1FW1GQ9GR,2025-12-01T09:00:00Z
01KCXK1Q2Y6MEVKPYB3B1KY9DC,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SP0001H0Q1FW1GS71G,2025-12-01T09:00:00Z
01KCXK1Q2YY71FV3CMKD0HE6DG,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SP0001H0Q1FW1GV4J8,2025-12-01T09:00:00Z
01KCXK1Q2ZVHCY9EB6387YX7PZ,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1GX13R,2025-12-01T09:00:00Z
01KCXK1Q2Z4XDPHXSXTQZJPEXK,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1GZTYR,2025-12-01T09:00:00Z
01KCXK1Q30Z56VMNKBAXGHXE24,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1H1SER,2025-12-01T09:00:00Z
01KCXK1Q30PQ5XKCSBDVPQ5G8J,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1H797R,2025-12-01T09:00:00Z
01KCXK1Q31SKY0041PZ0MWYFGF,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1HBD2G,2025-12-01T09:00:00Z
01KCXK1Q3249CBCKF47YP2WR5E,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1HE7WR,2025-12-01T09:00:00Z
01KCXK1Q332KFY3XHECC3BQ99Y,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1HGM28,2025-12-01T09:00:00Z
01KCXK1Q337HXTGT46HRSBRR7A,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1HK07R,2025-12-01T09:00:00Z
01KCXK1Q346XK6RPT742G74ARZ,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1HMYQR,2025-12-01T09:00:00Z
01KCXK1Q3490RTGPW8C3NWM347,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SQ0001H0Q1FW1HPV98,2025-12-01T09:00:00Z
01KCXK1Q35QTDSVEQX10S6P5Q7,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SR0001H0Q1FW1HWC1G,2025-12-01T09:00:00Z
01KCXK1Q36JGZ6DR4V4HDG6MQH,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SR0001H0Q1FW1HYAHG,2025-12-01T09:00:00Z
01KCXK1Q36FHBNFQ7MRQT15C18,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SR0001H0Q1FW1J0TM0,2025-12-01T09:00:00Z
01KCXK1Q36A7GC9XRKKQCQTG69,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0SR0001H0Q1FW1J2Q5G,2025-12-01T09:00:00Z
01KCXK1Q374YCG8W3XXR2NK4JD,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0T60001H0Q1FW203EHG,2025-12-01T09:00:00Z
01KCXK1Q38PCHJ8ZPRSYSKDZXC,01KCXK1Q2TMR3KKHYQBGZ9TP1A,01KCXGG0T70001H0Q1FW20B3N8,2025-12-01T09:00:00Z
