testId,id,question,domain,explanation,score,createdAt,status
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SP0001H0Q1FW1GGQJ0,The final design proposal ______ to the client by next Tuesday.,Language & Communication,Future passive form 'will be sent' is required.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SP0001H0Q1FW1GK6N8,The new regulations will take effect ______ the beginning of next quarter.,Language & Communication,Correct preposition is 'at the beginning'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SP0001H0Q1FW1GNA1G,The marketing team launched a campaign that proved highly ______ among younger customers.,Language & Communication,'Highly effective' is the correct collocation.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SP0001H0Q1FW1GQ9GR,"Sales increased by 15% this year; ______, customer satisfaction ratings also improved.",Language & Communication,'Therefore' expresses logical result.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SP0001H0Q1FW1GS71G,Documents ______ after the deadline will not be accepted.,Language & Communication,Past participle 'submitted' is required.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SP0001H0Q1FW1GV4J8,Our company has received valuable ______ from the consulting firm.,Language & Communication,'Information' is uncountable.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1GX13R,The director ______ the new policy during tomorrow’s briefing.,Language & Communication,Future action → 'will explain'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1GZTYR,We apologize for the inconvenience and appreciate your ______ as we resolve the issue.,Language & Communication,Correct noun is 'patience'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1H1SER,"If the supplier ______ the goods today, we can begin testing immediately.",Language & Communication,First conditional uses present simple.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1H797R,All security badges must ______ by the operations department before processing.,Language & Communication,Passive form: 'be verified'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1HBD2G,Mr. Rao will lead ______ initiative to reduce expenses in the logistics division.,Language & Communication,'A initiative' is incorrect; 'an initiative' is not used; correct is 'a presentation' case. In this context: 'an initiative'? Actually correct: 'an initiative'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1HE7WR,The employee ______ received the award has worked here for more than ten years.,Language & Communication,'Who' introduces a subject relative clause.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1HGM28,Please ______ the form before the interview so we can update your file.,Language & Communication,Correct phrasal verb is 'fill out'.,1,2025-12-08T00:00:00Z,active
