id,examResultQuestionId,answerId,answerValue,isCorrect,createdAt
A0MZ17QKF3F55Z488YAGVDCKSQ,5379AV4RRXG07HN7JVAX0GB6KC,3,6,True,2024-06-19T03:23:19
6VPVTX363SN6FCCW8VBHXF4W63,W7FE4N1EE043E42N4FHZD8YFYT,6,3,True,2024-09-10T06:25:51
YA35B44FS7F25TMGDMFGS8KXM4,05FATZYDS3AR0RGXJVZ9CJD33M,10,bd,True,2024-01-04T14:49:34
ZG35VH20N8GAWV07492Q9V82KQ,X64DG8P4FQJAWK0K68G769HJDN,15,4,True,2024-12-15T03:06:53
EE1CSNH4HPSN17GBG26VPMV7RC,2PDF6PT9FABT1BNTFHA6R2YECX,19,False True,False,2024-04-08T22:11:09
MXWWDYA5JN5FKEC912FY4XTCRZ,2V0CQV4NM7KKTMSJ8CTRBKS0KJ,22,-2,False,2024-06-04T05:02:04
4JFHNM589ER9D4TTNXT3DTR1RY,F906VEBX3F7X8XMWVWAYWGFHZF,26,(x − 2)(x − 3),True,2024-01-03T06:57:19
MDXMNRHTG5Y13PE421FC19F8Y7,PKRTEZEHVZ1RNSAX81S15V8XB3,31,x ≥ 2,True,2024-08-07T00:34:38
Z6VQX9VBHYXVHMF5HWFXRN1ZMB,DXGQA7AK61KRSC4F6K72PVQ4N0,33,-9,True,2024-07-08T08:17:41
PXHKGE7CM7BCDYHJ6CJEQBK08H,DPGNHH0C5FTZFYZW15JESFKQYP,38,Arithmetic sequence with common difference 3,True,2024-01-18T16:14:13
ERWWKVK36DDG5AFB4A0TWYJ2EJ,3J8Z60JYYWNB3GY74SZ4399K5F,42,"SELECT customer_id, COUNT(*) AS order_count FROM orders GROUP BY customer_id;",True,2024-10-01T13:18:21
VMG15E1H2BYWHBVZ5YPTNM6ANT,JX4EGCV7E9H943AKJW7XKSHZW5,46,LEFT JOIN,True,2024-09-26T09:30:26
FAK0T5E7X79ZJHTYYFX9RC84HT,ZJS2X5MGM7S0XT3CQZW3DH8JWZ,50,WHERE order_date >= '2025-01-01',True,2024-05-11T23:52:00
6W6X09T94YGNS5NRMZ24FJE5V6,H0JKZ9WYPNRXMCFRET2MYRR9Z2,55,COUNT(*) counts all rows; COUNT(column_name) ignores NULLs,True,2024-10-22T07:09:33
0XJA4WPKVGXKCRY6FRPJJ1SH03,6WAK12M3JPQV9FTBAB5RFZ9EXG,58,SUM(amount) OVER (PARTITION BY amount),False,2024-12-19T15:33:54
JN7X49ESQ5S0G7XQGRQ6EY1ME4,ZJEPECG862KW2Q85JMTBC8QHAG,62,Histogram,True,2024-09-03T18:23:37
FQ6QP3SHC7X5D13NF8D4DDEN90,XKT7822KZ76F8RXQT9T6ZTH2QD,67,The line inside the box,True,2024-04-17T16:23:19
X13YSV6ZW45M948HMRJXV67DVW,98GB7180PFM1BG38T74YWQ6WE2,71,There is a positive correlation between the variables,True,2024-12-10T21:36:29
3JKP6D9YE6PQ7HEV1H1BHKNP0B,ETNXST6MVMGQ9Y4555V6Q83N7T,75,Pie chart,True,2024-12-03T19:42:29
D7PV7JZK2ES30DKD8GJM70ZVB8,9S4915DRTXNAQKM539A35HWVZW,78,Use many very similar shades of the same color,False,2024-05-27T15:47:24
